period_id,fort_id,start_year,end_year,period_type,period_notes,period_order,name_primary,state_territory
1849,1537,1756,1758,,,0,Fort Winslow,NY
1889,1575,1779,1780,,,0,Fort at Canoe Place,NY
1857,1545,1755,,,,0,Fort at Kinderhook,NY
1955,1637,1709,,,,0,Fort at the Bay of the Cayugas,NY
1956,1637,1720,,,,1,Fort at the Bay of the Cayugas,NY
1822,1514,1542,,,,0,Fort d'Anormee Berge,NY
1928,1611,1500,,,Approximate date,0,Fort of the Eries,NY
1940,1622,1812,,,,0,Fox Point Battery,NY
1910,1594,1696,,,,0,French Fort,NY
1923,1606,1813,1814,,,0,French Mills Blockhouse,NY
1934,1617,1745,1750,,,0,Frenchman's Landing Blockhouses,NY
1935,1617,1764,,,,1,Frenchman's Landing Blockhouses,NY
1946,1628,1670,,,,0,Gandachiragou,NY
1953,1635,1649,1687,,,0,Gandougarae,NY
1964,1644,1687,1754,,,0,Ganechstage,NY
1944,1626,1770,,,,0,Genesee Castle,NY
1820,1512,1759,,,,0,George Kimber's Fort,NY
1830,1521,1755,1757,,,0,Governors Island Barracks,NY
1831,1521,1776,1783,,,1,Governors Island Barracks,NY
1970,1650,1656,1779,,,0,Great Gully Fort,NY
1854,1542,1663,1690,,,0,Greenbush Fort,NY
1900,1584,1770,,,,0,Heidman's Fort,NY
1885,1572,1653,,,,0,Huntington Forts,NY
1886,1572,1777,1783,,,1,Huntington Forts,NY
1906,1590,1779,,,,0,Hyde Bay Camp,NY
1828,1519,1600,,,Approximate date,0,Indian Fort,NY
1817,1509,1757,,,,0,Isaac Dolson's Blockhouse,NY
1973,1653,1806,,,,0,John Speed's Blockhouse,NY
1818,1510,1771,,,,0,John Van Tuyle's Fort,NY
1961,1641,1690,1764,,,0,Kanestio Castle,NY
1809,1501,1663,,,,0,Kerhonkson Indian Fort,NY
1938,1620,1500,,,Approximate date,0,Kienuka,NY
1874,1562,1600,,,Approximate date,0,Kitchawanc Fort,NY
1924,1607,1812,1855,,,0,Malone Arsenal,NY
1971,1651,1800,1930,,,0,Moravia Arsenal,NY
1957,1638,1722,1742,,,0,Mud Creek Blockhouse,NY
1958,1638,1756,1760,,,1,Mud Creek Blockhouse,NY
1943,1625,1400,,,Approximate date,0,Neutral Indian Fort,NY
1863,1551,1662,1686,,,0,New Dorp / Hurley Blockhouse,NY
1807,1499,1663,,,,0,New Fort,NY
1866,1554,1678,,,,0,New Paltz Stockade,NY
1834,1524,1657,1664,,,0,New Utrecht Blockhouse,NY
1827,1518,1600,,,Approximate date,0,Nipnichsen,NY
1829,1520,1624,1625,,,0,Nooten Eylandt Fort,NY
1837,1526,1809,1831,,,0,North Battery,NY
1908,1592,1480,,,Approximate date,0,Oneida Indian Fort,NY
1959,1639,1670,,,,0,Onontare,NY
1915,1599,1758,1760,,,0,Oswego Falls Palisade,NY
1977,1657,,,,Unparsed: unknown - 1779,0,Otsiningo Castle,NY
1794,1489,1794,,,,0,Peru Blockhouse,NY
1947,1629,1803,,,,0,Philip Price's Blockhouse,NY
1793,1488,1810,1813,,,0,Plattsburgh Arsenal,NY
1919,1603,1813,,,,0,Pork Barrel Fort,NY
1861,1549,1775,1782,,,0,Red Hook Barracks,NY
1814,1506,1750,,,,0,Roosa's Fort,NY
1860,1548,,,,Unparsed: unknown dates,0,Round Top Fort,NY
1881,1568,1675,,,,0,Rye Fort,NY
1891,1577,1776,1780,,,0,Sag Harbor Forts,NY
1892,1577,1813,1814,,,1,Sag Harbor Forts,NY
1893,1577,1840,,,,2,Sag Harbor Forts,NY
1939,1621,1812,,,,0,Salt Battery,NY
1912,1596,1795,,,,0,Salt Point Blockhouse,NY
1826,1517,1600,,,Approximate date,0,Sapohannikan Fort,NY
1897,1581,1918,1950,,,0,Schenectady Army Depot,NY
1901,1585,1778,1783,,,0,Schoharie Valley Forts,NY
1966,1646,1796,,,,0,Seneca Falls Blockhouse,NY
1865,1553,1663,,,,0,Shawangunk Indian Fort,NY
1835,1525,1636,1655,,,0,Signal Hill Blockhouse,NY
1836,1525,1663,1664,,,1,Signal Hill Blockhouse,NY
1871,1559,1779,,,,0,Smith's Clove Camp,NY
1945,1627,1668,1687,,,0,Sonnontuan,NY
1890,1576,1777,1778,,,0,Southampton Fort,NY
1842,1531,1860,,,,0,Staten Island Civil War Camps,NY
1877,1565,1780,,,,0,Tarrytown Battery,NY
1875,1563,1777,,,,0,Teller's Point Battery,NY
1967,1647,1670,,,,0,Thiohero,NY
1914,1598,1758,1759,,,0,Three Rivers Blockhouse,NY
1933,1616,1812,1813,,,0,Tonawanda Blockhouse,NY
1965,1645,1778,1779,,,0,Tory Quarters,NY
1979,1659,1272,,,,0,Unadilla Castle,NY
1856,1544,1770,,,,0,Van Alstyne House,NY
1811,1503,1770,,,,0,Wawarsing Fort,NY
1795,1490,1797,1798,,,0,Willborough Blockhouse,NY
1840,1529,1814,1815,,,0,Williamsburg Heights Blockhouse,NY
1932,1615,1812,1813,,,0,Williamsville Barracks,NY
1982,1662,1875,,,,0,"""Old Indian Fort""",OH
2002,1682,1812,,,,0,Bellville Post,OH
2050,1729,1813,,,,0,Brookville Fort,OH
2031,1710,1810,,,,0,Cadiz Fort,OH
2063,1742,1861,1864,,,0,Camp Ammen,OH
2005,1685,1861,1862,,,0,Camp Andrews,OH
2100,1779,1812,,,,0,Camp Avery,OH
2024,1703,1813,1815,,,0,Camp Bull,OH
2016,1695,1898,,,,0,Camp Bushnell,OH
2021,1700,1774,,,,0,Camp Charlotte,OH
2019,1698,1861,1862,,,0,Camp Circleville,OH
2037,1716,1861,,,,0,Camp Clark,OH
2055,1734,1861,,,,0,Camp Colerain,OH
2052,1731,1861,,,,0,Camp Corwin,OH
1998,1678,1812,,,,0,Camp Council,OH
2071,1750,1862,1864,,,0,Camp Delaware,OH
1983,1663,1861,,,,0,Camp Giddings,OH
2054,1733,1861,1865,,,0,Camp Hamilton,OH
1984,1664,1861,,,,0,Camp Hutchins,OH
2097,1776,1861,1862,,,0,Camp Latty,OH
2090,1769,1862,,,,0,Camp Lima,OH
2062,1741,1861,,,,0,Camp Lucas,OH
2046,1725,1791,,,,0,Camp Maple Swamp,OH
1988,1668,1862,,,,0,Camp Massillion,OH
2083,1762,1861,1862,,,0,Camp McArthur,OH
1981,1661,1898,,,,0,Camp McKisson,OH
1991,1671,1861,,,,0,Camp Meigs,OH
2042,1721,1791,,,,0,Camp Mississinewa,OH
2103,1781,1861,1862,,,0,Camp Monroeville,OH
2025,1704,1861,1862,,,0,Camp Morrow,OH
1996,1676,1812,,,,0,Camp Musser,OH
2099,1778,1861,,,,0,Camp Noble,OH
